court,num_cases_20,num_cases_19,change_num_cases,pct_change_num_cases
"California Superior Court, Los Angeles County",3,3,0,0
"Court of Common Pleas of Pennsylvania, Westmoreland County",2,2,0,0
District of Columbia Superior Court,13,43,-30,-69.77
"Florida Circuit Court, Alachua County",32,32,0,0
"Florida Circuit Court, Brevard County",25,62,-37,-59.68
"Florida Circuit Court, Broward County",4,475,-471,-99.16
"Florida Circuit Court, Citrus County",6,8,-2,-25
"Florida Circuit Court, Highlands County",5,10,-5,-50
"Florida Circuit Court, Hillsborough County",226,50,176,352
"Florida Circuit Court, Lake County",24,43,-19,-44.19
"Florida Circuit Court, Lee County",44,79,-35,-44.3
"Florida Circuit Court, Manatee County",35,45,-10,-22.22
"Florida Circuit Court, Miami-Dade County",181,522,-341,-65.33
"Florida Circuit Court, Orange County",103,263,-160,-60.84
"Florida Circuit Court, Palm Beach County",157,246,-89,-36.18
"Florida Circuit Court, Polk County",48,78,-30,-38.46
"Florida Circuit Court, Volusia County",24,67,-43,-64.18
Georgia State Court,3,10,-7,-70
"Georgia Superior Court, Fulton County",431,858,-427,-49.77
"Minnesota District Court, Anoka County",5,25,-20,-80
"Minnesota District Court, Carlton County",1,1,0,0
"Minnesota District Court, Carver County",5,7,-2,-28.57
"Minnesota District Court, Cass County",1,0,1,Inf
"Minnesota District Court, Dakota County",13,60,-47,-78.33
"Minnesota District Court, Douglas County",2,1,1,100
"Minnesota District Court, Grant County",1,0,1,Inf
"Minnesota District Court, Isanti County",1,8,-7,-87.5
"Minnesota District Court, Itasca County",2,2,0,0
"Minnesota District Court, Lyon County",9,0,9,Inf
"Minnesota District Court, Mille Lacs County",3,0,3,Inf
"Minnesota District Court, Nicollet County",1,1,0,0
"Minnesota District Court, Otter Tail County",2,2,0,0
"Minnesota District Court, Pine County",1,4,-3,-75
"Minnesota District Court, Scott County",1,3,-2,-66.67
"Minnesota District Court, Sherburne County",1,2,-1,-50
"Minnesota District Court, St Louis County",4,12,-8,-66.67
"Minnesota District Court, Stearns County",1,17,-16,-94.12
"Minnesota District Court, Washington County",3,13,-10,-76.92
"Minnesota District Court, Winona County",3,2,1,50
"Nevada District Court, Clark County",2,8,-6,-75
"Ohio Court of Common Pleas, Montgomery County",11,2,9,450
Superior Court of Alaska,18,72,-54,-75
"Superior Court of Delaware, New Castle County",1,0,1,Inf
"Texas County Court, Collin County",21,168,-147,-87.5
"Texas County Court, Gregg County",3,37,-34,-91.89
"Texas District Court, Denton County",23,169,-146,-86.39
"Utah District Court, Cache County",6,5,1,20
"Utah District Court, Carbon County",1,1,0,0
"Utah District Court, Davis County",11,17,-6,-35.29
"Utah District Court, Duchesne County",2,1,1,100
"Utah District Court, Grand County",1,0,1,Inf
"Utah District Court, Iron County",2,1,1,100
"Utah District Court, Salt Lake County",75,101,-26,-25.74
"Utah District Court, Summit County",1,1,0,0
"Utah District Court, Tooele County",4,2,2,100
"Utah District Court, Uintah County",2,1,1,100
"Utah District Court, Utah County",21,21,0,0
"Utah District Court, Wasatch County",1,0,1,Inf
"Utah District Court, Washington County",5,3,2,66.67
"Utah District Court, Weber County",9,23,-14,-60.87
"California Superior Court, Alameda County",0,3,-3,-100
"California Superior Court, Santa Clara County",0,1,-1,-100
"Court of Common Pleas of Pennsylvania, Allegheny County",0,7,-7,-100
"Court of Common Pleas of Pennsylvania, Delaware County",0,4,-4,-100
"Court of Common Pleas of Pennsylvania, Erie County",0,1,-1,-100
"Court of Common Pleas of Pennsylvania, Montgomery County",0,1,-1,-100
"Florida Circuit Court, Escambia County",0,37,-37,-100
"Florida Circuit Court, Sarasota County",0,27,-27,-100
"Maryland Circuit Court, Baltimore City",0,2,-2,-100
"Minnesota District Court, Brown County",0,1,-1,-100
"Minnesota District Court, Chisago County",0,4,-4,-100
"Minnesota District Court, Clay County",0,6,-6,-100
"Minnesota District Court, Crow Wing County",0,2,-2,-100
"Minnesota District Court, Dodge County",0,2,-2,-100
"Minnesota District Court, Fillmore County",0,2,-2,-100
"Minnesota District Court, Freeborn County",0,3,-3,-100
"Minnesota District Court, Goodhue County",0,2,-2,-100
"Minnesota District Court, Houston County",0,2,-2,-100
"Minnesota District Court, Hubbard County",0,3,-3,-100
"Minnesota District Court, Kandiyohi County",0,1,-1,-100
"Minnesota District Court, Le Sueur County",0,1,-1,-100
"Minnesota District Court, Marshall County",0,1,-1,-100
"Minnesota District Court, Martin County",0,1,-1,-100
"Minnesota District Court, Mcleod County",0,5,-5,-100
"Minnesota District Court, Mower County",0,6,-6,-100
"Minnesota District Court, Nobles County",0,1,-1,-100
"Minnesota District Court, Olmsted County",0,2,-2,-100
"Minnesota District Court, Pennington County",0,1,-1,-100
"Minnesota District Court, Polk County",0,3,-3,-100
"Minnesota District Court, Renville County",0,2,-2,-100
"Minnesota District Court, Rice County",0,5,-5,-100
"Minnesota District Court, Steele County",0,3,-3,-100
"Minnesota District Court, Swift County",0,1,-1,-100
"Minnesota District Court, Wilkin County",0,1,-1,-100
"Minnesota District Court, Wright County",0,2,-2,-100
"Superior Court of Delaware, Sussex County",0,2,-2,-100
"Utah District Court, Box Elder County",0,1,-1,-100
