court,num_cases_20,num_cases_19,change_num_cases,pct_change_num_cases
"California Superior Court, Alameda County",15,11,4,36.36
"California Superior Court, Contra Costa County",6,4,2,50
"California Superior Court, Kern County",1,0,1,Inf
"California Superior Court, Los Angeles County",15,28,-13,-46.43
"California Superior Court, Orange County",5,11,-6,-54.55
"California Superior Court, Sacramento County",2,3,-1,-33.33
"California Superior Court, San Bernardino County",1,0,1,Inf
"California Superior Court, San Francisco County",29,24,5,20.83
"California Superior Court, San Mateo County",3,1,2,200
"California Superior Court, Santa Clara County",5,2,3,150
"California Superior Court, Sonoma County",3,2,1,50
"California Superior Court, Ventura County",1,3,-2,-66.67
"Court of Common Pleas of Pennsylvania, Allegheny County",47,55,-8,-14.55
"Court of Common Pleas of Pennsylvania, Delaware County",30,49,-19,-38.78
"Court of Common Pleas of Pennsylvania, Erie County",6,12,-6,-50
"Court of Common Pleas of Pennsylvania, Montgomery County",41,39,2,5.13
"Court of Common Pleas of Pennsylvania, Westmoreland County",16,35,-19,-54.29
District of Columbia Superior Court,499,375,124,33.07
"Florida Circuit Court, Alachua County",367,393,-26,-6.62
"Florida Circuit Court, Brevard County",504,454,50,11.01
"Florida Circuit Court, Broward County",2531,3307,-776,-23.47
"Florida Circuit Court, Citrus County",87,71,16,22.54
"Florida Circuit Court, Escambia County",5,446,-441,-98.88
"Florida Circuit Court, Highlands County",91,101,-10,-9.9
"Florida Circuit Court, Hillsborough County",2281,460,1821,395.87
"Florida Circuit Court, Lake County",349,282,67,23.76
"Florida Circuit Court, Lee County",570,598,-28,-4.68
"Florida Circuit Court, Manatee County",421,401,20,4.99
"Florida Circuit Court, Miami-Dade County",3475,3589,-114,-3.18
"Florida Circuit Court, Orange County",2258,2227,31,1.39
"Florida Circuit Court, Palm Beach County",1660,1798,-138,-7.68
"Florida Circuit Court, Polk County",730,767,-37,-4.82
"Florida Circuit Court, Sarasota County",4,190,-186,-97.89
"Florida Circuit Court, Volusia County",609,635,-26,-4.09
Georgia State Court,38,43,-5,-11.63
"Georgia Superior Court, Fulton County",9722,9340,382,4.09
"Maryland Circuit Court, Baltimore City",50,29,21,72.41
"Minnesota District Court, Aitkin County",2,2,0,0
"Minnesota District Court, Anoka County",221,228,-7,-3.07
"Minnesota District Court, Becker County",5,13,-8,-61.54
"Minnesota District Court, Beltrami County",17,17,0,0
"Minnesota District Court, Benton County",9,39,-30,-76.92
"Minnesota District Court, Blue Earth County",49,58,-9,-15.52
"Minnesota District Court, Brown County",6,5,1,20
"Minnesota District Court, Carlton County",23,10,13,130
"Minnesota District Court, Carver County",34,38,-4,-10.53
"Minnesota District Court, Cass County",10,7,3,42.86
"Minnesota District Court, Chippewa County",8,12,-4,-33.33
"Minnesota District Court, Chisago County",16,19,-3,-15.79
"Minnesota District Court, Clay County",50,60,-10,-16.67
"Minnesota District Court, Clearwater County",4,1,3,300
"Minnesota District Court, Cook County",3,1,2,200
"Minnesota District Court, Cottonwood County",1,2,-1,-50
"Minnesota District Court, Crow Wing County",35,29,6,20.69
"Minnesota District Court, Dakota County",412,383,29,7.57
"Minnesota District Court, Dodge County",6,5,1,20
"Minnesota District Court, Douglas County",16,2,14,700
"Minnesota District Court, Faribault County",6,2,4,200
"Minnesota District Court, Fillmore County",4,5,-1,-20
"Minnesota District Court, Freeborn County",18,23,-5,-21.74
"Minnesota District Court, Goodhue County",25,15,10,66.67
"Minnesota District Court, Houston County",2,8,-6,-75
"Minnesota District Court, Hubbard County",2,7,-5,-71.43
"Minnesota District Court, Isanti County",23,19,4,21.05
"Minnesota District Court, Itasca County",19,28,-9,-32.14
"Minnesota District Court, Kanabec County",11,10,1,10
"Minnesota District Court, Kandiyohi County",17,20,-3,-15
"Minnesota District Court, Koochiching County",3,2,1,50
"Minnesota District Court, Lac Qui Parle County",1,1,0,0
"Minnesota District Court, Lake County",3,4,-1,-25
"Minnesota District Court, Le Sueur County",8,13,-5,-38.46
"Minnesota District Court, Lincoln County",1,0,1,Inf
"Minnesota District Court, Lyon County",7,11,-4,-36.36
"Minnesota District Court, Marshall County",1,0,1,Inf
"Minnesota District Court, Martin County",9,6,3,50
"Minnesota District Court, Mcleod County",13,13,0,0
"Minnesota District Court, Meeker County",6,8,-2,-25
"Minnesota District Court, Mille Lacs County",13,13,0,0
"Minnesota District Court, Morrison County",17,7,10,142.86
"Minnesota District Court, Mower County",28,22,6,27.27
"Minnesota District Court, Nicollet County",15,7,8,114.29
"Minnesota District Court, Nobles County",7,0,7,Inf
"Minnesota District Court, Olmsted County",113,131,-18,-13.74
"Minnesota District Court, Otter Tail County",27,35,-8,-22.86
"Minnesota District Court, Pennington County",7,11,-4,-36.36
"Minnesota District Court, Pine County",18,10,8,80
"Minnesota District Court, Pipestone County",2,3,-1,-33.33
"Minnesota District Court, Polk County",12,15,-3,-20
"Minnesota District Court, Pope County",3,2,1,50
"Minnesota District Court, Red Lake County",1,1,0,0
"Minnesota District Court, Redwood County",2,3,-1,-33.33
"Minnesota District Court, Renville County",2,0,2,Inf
"Minnesota District Court, Rice County",17,24,-7,-29.17
"Minnesota District Court, Roseau County",5,6,-1,-16.67
"Minnesota District Court, Scott County",37,26,11,42.31
"Minnesota District Court, Sherburne County",33,33,0,0
"Minnesota District Court, Sibley County",4,3,1,33.33
"Minnesota District Court, St Louis County",133,151,-18,-11.92
"Minnesota District Court, Stearns County",157,84,73,86.9
"Minnesota District Court, Steele County",29,29,0,0
"Minnesota District Court, Stevens County",6,4,2,50
"Minnesota District Court, Swift County",4,1,3,300
"Minnesota District Court, Todd County",4,1,3,300
"Minnesota District Court, Wabasha County",3,5,-2,-40
"Minnesota District Court, Wadena County",8,6,2,33.33
"Minnesota District Court, Waseca County",7,7,0,0
"Minnesota District Court, Washington County",113,112,1,0.89
"Minnesota District Court, Watonwan County",3,2,1,50
"Minnesota District Court, Wilkin County",1,1,0,0
"Minnesota District Court, Winona County",30,26,4,15.38
"Minnesota District Court, Wright County",57,53,4,7.55
"Minnesota District Court, Yellow Medicine County",1,3,-2,-66.67
"Nevada District Court, Clark County",62,74,-12,-16.22
"Ohio Court of Common Pleas, Montgomery County",21,25,-4,-16
Superior Court of Alaska,446,515,-69,-13.4
"Superior Court of Delaware, New Castle County",2,0,2,Inf
"Superior Court of Delaware, Sussex County",2,5,-3,-60
"Texas County Court, Collin County",2061,2100,-39,-1.86
"Texas County Court, Gregg County",319,270,49,18.15
"Texas District Court, Denton County",2096,1993,103,5.17
"Utah District Court, Box Elder County",10,18,-8,-44.44
"Utah District Court, Cache County",17,14,3,21.43
"Utah District Court, Carbon County",12,17,-5,-29.41
"Utah District Court, Davis County",93,113,-20,-17.7
"Utah District Court, Duchesne County",5,2,3,150
"Utah District Court, Emery County",1,0,1,Inf
"Utah District Court, Grand County",6,2,4,200
"Utah District Court, Iron County",10,12,-2,-16.67
"Utah District Court, Juab County",1,0,1,Inf
"Utah District Court, Kane County",1,1,0,0
"Utah District Court, Millard County",1,7,-6,-85.71
"Utah District Court, Salt Lake County",744,798,-54,-6.77
"Utah District Court, Sanpete County",5,8,-3,-37.5
"Utah District Court, Sevier County",6,9,-3,-33.33
"Utah District Court, Summit County",9,2,7,350
"Utah District Court, Tooele County",28,21,7,33.33
"Utah District Court, Uintah County",17,14,3,21.43
"Utah District Court, Utah County",155,181,-26,-14.36
"Utah District Court, Wasatch County",7,2,5,250
"Utah District Court, Washington County",21,31,-10,-32.26
"Utah District Court, Weber County",126,183,-57,-31.15
"Minnesota District Court, Grant County",0,2,-2,-100
